,Positive,Neutral,Negative,que
0,0.7919336557388306,0.20113803446292877,0.0039044960867613554,0.7919336557388306
1,0.01630508154630661,0.9747905731201172,0.00608405377715826,0.9747905731201172
10,0.006106737069785595,0.986492931842804,0.005295050796121359,0.986492931842804
100,0.2887303829193115,0.6301295161247253,0.062244534492492676,0.6301295161247253
1000,0.05364380031824112,0.6083693504333496,0.2681728005409241,0.6083693504333496
1001,0.0019852779805660248,0.9047775268554688,0.08490025997161865,0.9047775268554688
1002,0.01574760489165783,0.9717783331871033,0.009634583257138729,0.9717783331871033
1003,0.04420091584324837,0.8834115266799927,0.062346331775188446,0.8834115266799927
1004,0.7104568481445312,0.03286977484822273,0.07243367284536362,0.7104568481445312
1005,0.34121525287628174,0.27902406454086304,0.20205892622470856,0.34121525287628174
1006,0.02371996082365513,0.4702425003051758,0.43556034564971924,0.4702425003051758
1007,0.6051853895187378,0.3046897351741791,0.03133895620703697,0.6051853895187378
1008,0.496051162481308,0.2894493639469147,0.025241130962967873,0.496051162481308
1009,0.019211679697036743,0.8723658323287964,0.08504974097013474,0.8723658323287964
101,0.03185294196009636,0.946200966835022,0.018267732113599777,0.946200966835022
1010,0.06828253716230392,0.9284545183181763,0.0018933967221528292,0.9284545183181763
1011,0.5157120823860168,0.4584139585494995,0.004024808760732412,0.5157120823860168
1012,0.009779668413102627,0.9822778701782227,0.005950848571956158,0.9822778701782227
1013,0.035654786974191666,0.8251715302467346,0.12981988489627838,0.8251715302467346
1014,0.007287378888577223,0.9019219875335693,0.07937691360712051,0.9019219875335693
1015,0.04505132511258125,0.6871875524520874,0.21645845472812653,0.6871875524520874
1016,0.03547096624970436,0.7276198863983154,0.1642404943704605,0.7276198863983154
1017,0.3370733857154846,0.5999525189399719,0.052052684128284454,0.5999525189399719
1018,0.3483673334121704,0.6107322573661804,0.028363093733787537,0.6107322573661804
1019,0.054494813084602356,0.9373881816864014,0.003146214410662651,0.9373881816864014
102,0.11662827432155609,0.8457698225975037,0.0312606580555439,0.8457698225975037
1020,0.8297461867332458,0.13879109919071198,0.002995596034452319,0.8297461867332458
1021,0.46199628710746765,0.5133327841758728,0.006531171966344118,0.5133327841758728
1022,0.3988726735115051,0.2557009756565094,0.2574169933795929,0.3988726735115051
1023,0.12964124977588654,0.8303487300872803,0.03316481411457062,0.8303487300872803
1024,0.9853360056877136,0.011695532128214836,4.22025186708197e-05,0.9853360056877136
1025,0.7414224147796631,0.2332129031419754,0.006194508168846369,0.7414224147796631
1026,0.019389180466532707,0.8750777244567871,0.09610147029161453,0.8750777244567871
1027,0.36470577120780945,0.4313491880893707,0.08478455245494843,0.4313491880893707
1028,0.23105241358280182,0.6510165333747864,0.08551972359418869,0.6510165333747864
1029,0.513872504234314,0.301200270652771,0.031602997332811356,0.513872504234314
103,0.09289441257715225,0.7036229372024536,0.05601106956601143,0.7036229372024536
1030,0.3823906183242798,0.45339322090148926,0.13094094395637512,0.45339322090148926
1031,0.7970093488693237,0.18626701831817627,0.006966295652091503,0.7970093488693237
1032,0.4126412868499756,0.5448370575904846,0.015118330717086792,0.5448370575904846
1033,0.022188687697052956,0.9112027287483215,0.04159347712993622,0.9112027287483215
1034,0.03214619681239128,0.8995342254638672,0.05821842700242996,0.8995342254638672
1035,0.01686648465692997,0.9326273202896118,0.03872573375701904,0.9326273202896118
1036,0.005411922931671143,0.25381186604499817,0.7140003442764282,0.7140003442764282
1037,0.03473515063524246,0.8337052464485168,0.09927994757890701,0.8337052464485168
1038,0.39722082018852234,0.47120577096939087,0.04273473471403122,0.47120577096939087
1039,0.6616273522377014,0.33230945467948914,0.0006333626806735992,0.6616273522377014
104,0.06530722230672836,0.9235702157020569,0.00817982666194439,0.9235702157020569
1040,0.7759929299354553,0.21379835903644562,0.002402245532721281,0.7759929299354553
1041,0.7183489799499512,0.24406027793884277,0.022228777408599854,0.7183489799499512
1042,0.007116977591067553,0.9242847561836243,0.05942568555474281,0.9242847561836243
1043,0.4158434569835663,0.5380573272705078,0.03255484253168106,0.5380573272705078
1044,0.6631880402565002,0.2812577486038208,0.010067117400467396,0.6631880402565002
1045,0.32272806763648987,0.6523619890213013,0.009266672655940056,0.6523619890213013
1046,0.4677136242389679,0.4951103925704956,0.02808143012225628,0.4951103925704956
1047,0.40761566162109375,0.5710766911506653,0.007189568597823381,0.5710766911506653
1048,0.862116277217865,0.13263410329818726,0.0011835690820589662,0.862116277217865
1049,0.08132192492485046,0.8597941398620605,0.04412243142724037,0.8597941398620605
105,0.24733653664588928,0.7505810856819153,0.0005329636042006314,0.7505810856819153
1050,0.03599909320473671,0.8386421799659729,0.08194248378276825,0.8386421799659729
1051,0.009244987741112709,0.9780936241149902,0.01110235694795847,0.9780936241149902
1052,0.23755832016468048,0.6829858422279358,0.033229533582925797,0.6829858422279358
1053,0.39226117730140686,0.6039341688156128,0.0010063562076538801,0.6039341688156128
1054,0.015916988253593445,0.09014776349067688,0.6984145641326904,0.6984145641326904
1055,0.774102509021759,0.20372135937213898,0.0006119687459431589,0.774102509021759
1056,0.008730133064091206,0.9726080298423767,0.016745764762163162,0.9726080298423767
1057,0.2673971951007843,0.2618134021759033,0.3555307388305664,0.3555307388305664
1058,0.01925835758447647,0.42592573165893555,0.4821407198905945,0.4821407198905945
1059,0.954358696937561,0.033538661897182465,0.0003754814970307052,0.954358696937561
106,0.10413316637277603,0.8805660009384155,0.006072264164686203,0.8805660009384155
1060,0.42157596349716187,0.379425585269928,0.13715067505836487,0.42157596349716187
1061,0.09127410501241684,0.6738966703414917,0.2052384465932846,0.6738966703414917
1062,0.024744290858507156,0.04052548483014107,0.7796885967254639,0.7796885967254639
1063,0.16645313799381256,0.16709911823272705,0.5433762073516846,0.5433762073516846
1064,0.8529285788536072,0.13054735958576202,0.0006058666622266173,0.8529285788536072
1065,0.00855174195021391,0.9757030606269836,0.013846642337739468,0.9757030606269836
1066,0.12846995890140533,0.8616335988044739,0.0021296541672199965,0.8616335988044739
1067,0.0019109720597043633,0.8651621341705322,0.12663543224334717,0.8651621341705322
1068,0.04474202170968056,0.15834878385066986,0.521662712097168,0.521662712097168
1069,0.0008047188748605549,0.03544807434082031,0.9499161839485168,0.9499161839485168
107,0.010269702412188053,0.9806308746337891,0.008268361911177635,0.9806308746337891
1070,0.3483673334121704,0.6107322573661804,0.028363093733787537,0.6107322573661804
1071,0.027283189818263054,0.5779867172241211,0.3210216760635376,0.5779867172241211
1072,0.3566141128540039,0.4758501946926117,0.1199943944811821,0.4758501946926117
1073,0.8177170753479004,0.17856508493423462,0.00010068023402709514,0.8177170753479004
1074,0.0028505439404398203,0.9406100511550903,0.05419086664915085,0.9406100511550903
1075,0.8439840078353882,0.1345607042312622,0.005972785875201225,0.8439840078353882
1076,0.0473124161362648,0.9306466579437256,0.01843833550810814,0.9306466579437256
1077,0.003708304837346077,0.993401825428009,0.002488639671355486,0.993401825428009
1078,0.010715247131884098,0.46265485882759094,0.48776835203170776,0.48776835203170776
1079,0.0034838069695979357,0.05009225755929947,0.8874080777168274,0.8874080777168274
108,9.948206570697948e-05,0.034876786172389984,0.9533853530883789,0.9533853530883789
1080,0.38437288999557495,0.31777223944664,0.23235735297203064,0.38437288999557495
1081,0.17735163867473602,0.7320951819419861,0.07164692133665085,0.7320951819419861
1082,0.31257134675979614,0.6460212469100952,0.018327409401535988,0.6460212469100952
1083,0.005180448293685913,0.15260984003543854,0.8095111846923828,0.8095111846923828
1084,0.02161436155438423,0.795717716217041,0.15732982754707336,0.795717716217041
1085,0.025119435042142868,0.8995726704597473,0.04837200418114662,0.8995726704597473
1086,0.5416980981826782,0.2927890419960022,0.0043991804122924805,0.5416980981826782
1087,0.09406774491071701,0.8554863929748535,0.04197802394628525,0.8554863929748535
1088,0.08308124542236328,0.3621847629547119,0.4167739748954773,0.4167739748954773
1089,0.005260452628135681,0.8926324248313904,0.0970974862575531,0.8926324248313904
109,0.9774951338768005,0.007327567785978317,0.0002207858196925372,0.9774951338768005
1090,0.046330567449331284,0.6979743838310242,0.18429554998874664,0.6979743838310242
1091,0.0020895737688988447,0.05598700791597366,0.9198369979858398,0.9198369979858398
1092,0.24893350899219513,0.7232639193534851,0.004882501438260078,0.7232639193534851
1093,0.1475120633840561,0.39916494488716125,0.13656927645206451,0.39916494488716125
1094,0.005312953144311905,0.2367008626461029,0.6477639675140381,0.6477639675140381
1095,0.12602780759334564,0.19756104052066803,0.5208259224891663,0.5208259224891663
1096,0.417466938495636,0.49496883153915405,0.012331515550613403,0.49496883153915405
1097,0.44207096099853516,0.5012341141700745,0.01948353834450245,0.5012341141700745
1098,0.06574753671884537,0.5837841629981995,0.17578335106372833,0.5837841629981995
1099,0.47125598788261414,0.2983138859272003,0.05175245553255081,0.47125598788261414
11,0.015190494246780872,0.9740569591522217,0.008839091286063194,0.9740569591522217
110,0.6747556924819946,0.29190611839294434,0.019320311024785042,0.6747556924819946
1100,0.844541072845459,0.08569688349962234,0.0407656766474247,0.844541072845459
1101,0.5140271782875061,0.29440656304359436,0.07296021282672882,0.5140271782875061
1102,0.37649479508399963,0.5214595198631287,0.023185312747955322,0.5214595198631287
1103,0.2550012767314911,0.5935326218605042,0.08403166383504868,0.5935326218605042
1104,0.9219098687171936,0.06736550480127335,0.006355583667755127,0.9219098687171936
1105,0.004255350679159164,0.9613361954689026,0.03209322318434715,0.9613361954689026
1106,0.09164638817310333,0.8496482968330383,0.04863141104578972,0.8496482968330383
1107,0.05374149978160858,0.8175635933876038,0.1069330945611,0.8175635933876038
1108,0.6116041541099548,0.3599691390991211,0.018504898995161057,0.6116041541099548
1109,0.5562902092933655,0.44296422600746155,0.0001260107383131981,0.5562902092933655
111,0.1373879313468933,0.37328919768333435,0.03799581155180931,0.37328919768333435
1110,0.5657686591148376,0.42744719982147217,0.0005849939188919961,0.5657686591148376
1111,0.18658562004566193,0.8084551095962524,0.002634522272273898,0.8084551095962524
1112,0.830761194229126,0.15061020851135254,0.004821907263249159,0.830761194229126
1113,0.860231339931488,0.11137214303016663,0.002517194487154484,0.860231339931488
1114,0.2911926209926605,0.5498422980308533,0.05837288871407509,0.5498422980308533
1115,0.7561392188072205,0.20148558914661407,0.00818965770304203,0.7561392188072205
1116,0.1141672432422638,0.8829167485237122,0.001530441571958363,0.8829167485237122
1117,0.03302057459950447,0.7680005431175232,0.13569246232509613,0.7680005431175232
1118,0.005500367376953363,0.09886110574007034,0.8621653914451599,0.8621653914451599
1119,0.24906456470489502,0.6724388003349304,0.05257094278931618,0.6724388003349304
112,0.031669583171606064,0.883574366569519,0.08039114624261856,0.883574366569519
1120,0.26109519600868225,0.6289874911308289,0.08397247642278671,0.6289874911308289
1121,0.0022177721839398146,0.9938967823982239,0.0032318902667611837,0.9938967823982239
1122,0.40542930364608765,0.5092892050743103,0.033898111432790756,0.5092892050743103
1123,0.848065197467804,0.14176775515079498,0.003919418901205063,0.848065197467804
1124,0.17541062831878662,0.7627224326133728,0.05169931799173355,0.7627224326133728
1125,0.003036040812730789,0.7583991885185242,0.23324966430664062,0.7583991885185242
1126,0.2388625293970108,0.40037938952445984,0.2199726700782776,0.40037938952445984
1127,0.06454787403345108,0.7264746427536011,0.16618140041828156,0.7264746427536011
1128,0.08653237670660019,0.7418590784072876,0.1486058533191681,0.7418590784072876
1129,0.010648492723703384,0.05515378713607788,0.8926237225532532,0.8926237225532532
113,0.04321328178048134,0.9323184490203857,0.019257478415966034,0.9323184490203857
1130,0.05732906982302666,0.12268052250146866,0.5018872022628784,0.5018872022628784
1131,0.5648120641708374,0.40448155999183655,0.011804120615124702,0.5648120641708374
1132,0.6402473449707031,0.10833781212568283,0.19194307923316956,0.6402473449707031
1133,0.2648031711578369,0.7080678939819336,0.01096875686198473,0.7080678939819336
1134,0.9852234125137329,0.005998632404953241,0.00027174988645128906,0.9852234125137329
1135,0.6064683794975281,0.3893459141254425,0.001003375626169145,0.6064683794975281
